driverId,week,hours-logged,miles-logged
869,44,64,4000
548,35,51,1600
119,32,69,1500
94,31,67,2200
985,40,56,1700
341,32,69,4000
381,36,74,1500
253,36,55,100
15,19,70,2500
71,18,78,3800
286,18,58,1200
573,17,53,3200
388,13,55,3800
909,30,76,500
848,29,72,2800
590,37,56,1900
630,35,65,1400
462,23,56,2500
315,51,64,2200
494,44,80,2400
487,34,53,3000
756,32,64,2300
339,4,74,2300
108,29,68,2500
206,44,79,3300
776,37,75,4000
991,25,62,500
393,34,56,3600
913,28,67,1900
725,7,59,3900
642,17,70,1500
931,14,75,3300
430,49,78,3100
410,45,58,3400
307,3,71,2400
739,47,65,4000
682,13,69,3100
184,12,75,1900
65,36,66,1700
46,37,77,1200
882,20,74,1100
477,30,67,1400
278,12,54,1700
104,23,51,3700
254,3,62,3000
485,47,79,2900
171,14,65,400
848,50,63,100
672,4,65,800
865,36,72,2500
294,10,61,2900
752,23,57,1800
171,1,59,2400
424,4,68,4000
485,36,75,2400
390,38,70,500
503,12,56,200
306,10,61,700
608,35,77,2900
105,29,71,1600
564,45,56,600
439,50,79,2300
873,48,77,3500
286,44,79,2300
736,37,80,3100
229,8,68,1000
606,49,71,300
454,8,55,400
278,35,64,2100
103,27,77,1000
346,14,78,1900
671,34,72,2900
333,49,50,1700
99,21,66,2800
553,41,63,2600
888,30,75,1900
855,22,75,2400
426,8,61,1700
536,3,55,1300
567,33,69,3300
284,35,79,3400
247,28,79,200
911,32,62,1200
986,33,63,200
422,46,67,1000
490,1,56,800
1000,20,62,1600
679,27,53,700
242,28,67,1300
471,30,67,2300
245,31,58,3200
242,28,61,300
11,22,74,2000
522,35,51,3700
601,52,50,2400
825,6,57,1900
199,36,74,2100
233,11,75,2300
454,32,50,3700
786,50,71,1800
604,18,68,1200
942,42,74,2300
756,30,56,2700
21,10,70,1200
938,26,74,300
294,2,58,2000
812,35,75,2000
830,47,75,900
367,38,54,1400
519,28,68,4000
528,24,74,3700
756,10,50,2300
28,42,80,3000
272,16,63,3400
25,35,73,1800
105,30,63,3500
323,3,77,3900
420,14,77,500
515,7,75,4000
476,4,50,900
248,7,74,1800
66,4,57,2900
172,23,71,2600
335,27,70,1900
39,32,63,2700
855,33,66,2600
32,15,52,3700
584,36,50,500
130,45,80,2000
819,38,65,0
575,24,79,3200
42,34,68,2800
988,26,78,500
411,42,51,1600
435,46,80,1600
220,2,78,2600
20,22,54,3800
935,43,65,2700
647,34,57,1400
358,12,74,3900
